Giver,Receiver,Year,Type,Points
ES,AL,2010,F,0.0
ES,AL,2010,SF1,4.0
ES,AL,2009,F,0.0
ES,AL,2009,SF2,0.0
ES,AL,2008,F,0.0
ES,AL,2007,SF,0.0
ES,AL,2006,SF,0.0
ES,AL,2005,F,0.0
ES,AL,2004,F,0.0
ES,AL,2004,SF,2.0
SE,AL,2023,F,0.0
SE,AL,2021,F,0.0
SE,AL,2019,F,0.0
SE,AL,2019,SF2,2.0
SE,AL,2018,F,0.0
SE,AL,2017,SF1,0.0
SE,AL,2015,F,0.0
SE,AL,2014,SF1,0.0
SE,AL,2012,F,1.0
SE,AL,2010,F,0.0
SE,AL,2009,F,1.0
SE,AL,2008,F,0.0
SE,AL,2008,SF2,7.0
SE,AL,2007,SF,0.0
SE,AL,2006,SF,2.0
SE,AL,2005,F,0.0
SE,AL,2004,F,7.0
SE,AL,2004,SF,7.0
CH,AL,2023,F,12.0
CH,AL,2022,SF1,8.0
CH,AL,2021,F,7.0
CH,AL,2021,SF2,13.0
CH,AL,2019,F,10.0
CH,AL,2019,SF2,12.0
CH,AL,2018,F,7.0
CH,AL,2018,SF1,10.0
CH,AL,2016,SF2,10.0
CH,AL,2015,F,0.0
CH,AL,2013,SF2,5.0
CH,AL,2012,F,12.0
CH,AL,2012,SF1,12.0
CH,AL,2011,SF1,6.0
CH,AL,2010,F,8.0
CH,AL,2009,F,6.0
CH,AL,2008,F,8.0
CH,AL,2008,SF2,10.0
CH,AL,2007,SF,7.0
CH,AL,2006,SF,10.0
CH,AL,2005,F,10.0
CH,AL,2004,F,7.0
CH,AL,2004,SF,10.0
TR,AL,2012,F,5.0
TR,AL,2011,SF1,8.0
TR,AL,2010,F,7.0
TR,AL,2009,F,10.0
TR,AL,2008,F,1.0
TR,AL,2008,SF2,8.0
TR,AL,2007,SF,4.0
TR,AL,2006,SF,3.0
TR,AL,2005,F,2.0
TR,AL,2004,F,6.0
TR,AL,2004,SF,6.0
UA,AL,2023,F,0.0
UA,AL,2023,SF2,
UA,AL,2022,SF1,0.0
UA,AL,2021,F,0.0
UA,AL,2018,F,0.0
UA,AL,2016,SF2,0.0
UA,AL,2014,SF1,0.0
UA,AL,2012,F,0.0
UA,AL,2010,F,0.0
UA,AL,2009,F,0.0
UA,AL,2009,SF2,3.0
UA,AL,2008,F,0.0
UA,AL,2008,SF2,3.0
UA,AL,2007,SF,0.0
UA,AL,2006,SF,0.0
UA,AL,2005,F,0.0
UA,AL,2004,F,0.0
UA,AL,2004,SF,1.0
GB,AL,2023,F,0.0
GB,AL,2023,SF2,5.0
GB,AL,2021,F,0.0
GB,AL,2021,SF2,1.0
GB,AL,2019,F,0.0
GB,AL,2019,SF2,0.0
GB,AL,2018,F,7.0
GB,AL,2018,SF1,8.0
GB,AL,2017,SF1,0.0
GB,AL,2016,SF2,0.0
GB,AL,2015,F,0.0
GB,AL,2012,F,0.0
GB,AL,2011,SF1,0.0
GB,AL,2010,F,1.0
GB,AL,2009,F,0.0
